Student_ID,Name,Age,Gender,Prayers_Before_Exams,Department,Study_Hours,Attendance,Assignments,Exam_Score,Result,Grade,Entrance_Exam_Score,Rank,Placement,LPA
ST001,Rina Bhat,17,Female,Yes,Information Technology,7,75,14,62.38,Pass,B,186,316,Placed,5.21
ST002,Aika Sethi,19,Male,No,Electronics,5,99,11,63.49,Pass,B,190,289,Placed,5.87
ST003,Takeru Khan,19,Female,No,Computer Science,7,89,14,65.81,Pass,B,196,263,Placed,4.47
ST004,Marina Bansal,19,Male,No,Electronics,0,83,3,17.27,Fail,F,57,593,Not Placed,0.0
ST005,Honoka Patil,19,Male,No,Mechanical,8,80,20,95.79,Pass,A+,294,7,Placed,9.34
ST006,Yui Jain,19,Female,No,Information Technology,5,79,14,61.64,Pass,B,189,320,Not Placed,0.0
ST007,Yoko Menon,20,Male,No,Mechanical,5,80,15,67.69,Pass,B,194,264,Placed,4.52
ST008,Akiko Malik,18,Male,Yes,Information Technology,4,84,13,58.07,Pass,C,171,364,Not Placed,0.0
ST009,Hitomi Goel,18,Male,No,Electronics,6,80,15,74.97,Pass,A,224,136,Placed,5.06
ST010,Hitomi Chatterjee,18,Male,No,Information Technology,2,76,8,40.06,Pass,D,111,543,Placed,2.05
ST011,Reiko Pandey,18,Male,No,Information Technology,8,84,17,84.3,Pass,A+,249,67,Not Placed,0.0
ST012,Himari Bhat,19,Male,Yes,Computer Science,7,74,16,74.96,Pass,A,224,143,Not Placed,0.0
ST013,Sakura Mitra,20,Female,Yes,Computer Science,3,85,7,40.78,Pass,D,120,531,Not Placed,0.0
ST014,Sota Malik,17,Male,Yes,Computer Science,7,80,18,81.31,Pass,A+,244,83,Placed,9.74
ST015,Aoi Islam,17,Male,Yes,Information Technology,7,89,13,66.67,Pass,B,193,288,Not Placed,0.0
ST016,Mao Jain,18,Male,Yes,Computer Science,6,92,12,65.03,Pass,B,193,286,Not Placed,0.0
ST017,Yuto More,19,Female,No,Mechanical,4,92,15,67.44,Pass,B,203,229,Not Placed,0.0
ST018,Reiko Choudhary,19,Male,No,Electronics,4,85,12,51.95,Pass,C,156,448,Not Placed,0.0
ST019,Akari Thakur,17,Male,Yes,Information Technology,4,86,12,52.32,Pass,C,159,446,Placed,3.7
ST020,Koharu Bansal,20,Male,Yes,Computer Science,4,79,13,54.52,Pass,C,166,408,Not Placed,0.0
ST021,Yuto Shetty,19,Female,Yes,Mechanical,8,89,15,80.32,Pass,A+,239,90,Placed,8.23
ST022,Asuka Choudhary,17,Male,Yes,Mechanical,2,90,5,29.19,Fail,F,88,577,Not Placed,0.0
ST023,Momoka Karmakar,19,Male,Yes,Electronics,7,66,15,70.84,Pass,A,209,188,Not Placed,0.0
ST024,Yui Malhotra,19,Male,Yes,Computer Science,4,86,10,48.82,Pass,D,145,478,Not Placed,0.0
ST025,Ayaka Choudhury,18,Female,No,Information Technology,5,96,13,62.35,Pass,B,182,328,Not Placed,0.0
ST026,Manami Banerjee,17,Male,No,Computer Science,7,78,17,76.82,Pass,A,236,101,Placed,5.06
ST027,Sara Datta,17,Male,Yes,Computer Science,8,76,20,93.74,Pass,A+,280,16,Placed,10.08
ST028,Aoi Khanna,17,Female,No,Electronics,4,78,13,59.88,Pass,C,185,311,Placed,4.61
ST029,Junko Kulkarni,19,Female,No,Electronics,5,67,11,55.56,Pass,C,168,405,Not Placed,0.0
ST030,Shin Acharya,20,Male,Yes,Information Technology,5,83,12,60.23,Pass,B,176,367,Not Placed,0.0
ST031,Yuriko Tiwari,17,Female,Yes,Mechanical,0,82,4,20.77,Fail,F,64,589,Not Placed,0.0
ST032,Yuzuki Varma,18,Male,No,Information Technology,4,84,9,47.21,Pass,D,146,479,Not Placed,0.0
ST033,Itsuki Goel,18,Male,Yes,Information Technology,5,86,11,60.37,Pass,B,181,334,Not Placed,0.0
ST034,Haruka Bansal,18,Male,No,Computer Science,5,74,16,73.17,Pass,A,220,166,Not Placed,0.0
ST035,Momoka Pillai,19,Female,No,Mechanical,6,85,15,66.01,Pass,B,195,257,Not Placed,0.0
ST036,Mai Kulkarni,18,Male,Yes,Computer Science,4,86,11,53.88,Pass,C,162,433,Placed,4.23
ST037,Takeru Sarkar,18,Male,Yes,Mechanical,5,77,14,65.82,Pass,B,199,247,Not Placed,0.0
ST038,Kaori Desai,18,Male,No,Mechanical,5,86,14,68.74,Pass,B,203,217,Not Placed,0.0
ST039,Kaori Menon,19,Female,Yes,Computer Science,6,83,17,74.59,Pass,A,218,174,Not Placed,0.0
ST040,Ryusei Tiwari,18,Male,Yes,Information Technology,7,76,15,75.04,Pass,A,232,117,Not Placed,0.0
ST041,Kaori Gaikwad,19,Male,No,Mechanical,5,85,14,70.76,Pass,A,215,163,Not Placed,0.0
ST042,Miku Kumar,18,Male,No,Information Technology,7,79,14,65.35,Pass,B,193,283,Not Placed,0.0
ST043,Ema Desai,19,Male,Yes,Mechanical,4,89,11,58.46,Pass,C,176,350,Placed,4.51
ST044,Asuka Srivastava,19,Male,No,Mechanical,5,80,13,56.57,Pass,C,162,440,Not Placed,0.0
ST045,Sota Jadhav,17,Female,Yes,Information Technology,4,69,12,47.86,Pass,D,134,519,Not Placed,0.0
ST046,Miku Kumar,18,Male,No,Information Technology,5,85,13,58.17,Pass,C,180,351,Placed,3.89
ST047,Daiki Joshi,19,Male,No,Mechanical,6,84,16,69.64,Pass,B,210,203,Not Placed,0.0
ST048,Yui Khanna,20,Female,No,Electronics,8,71,17,82.55,Pass,A+,247,78,Placed,7.93
ST049,Nao Patel,18,Male,No,Computer Science,3,90,10,44.15,Pass,D,134,505,Not Placed,0.0
